# z n_z
2.155000000000000249e+00 0.000000000000000000e+00
2.165000000000000036e+00 0.000000000000000000e+00
2.174999999999999822e+00 0.000000000000000000e+00
2.185000000000000053e+00 0.000000000000000000e+00
2.195000000000000284e+00 0.000000000000000000e+00
2.205000000000000071e+00 0.000000000000000000e+00
2.214999999999999858e+00 0.000000000000000000e+00
2.225000000000000089e+00 0.000000000000000000e+00
2.235000000000000320e+00 0.000000000000000000e+00
2.245000000000000107e+00 0.000000000000000000e+00
2.254999999999999893e+00 0.000000000000000000e+00
2.265000000000000124e+00 0.000000000000000000e+00
2.275000000000000355e+00 0.000000000000000000e+00
2.285000000000000142e+00 0.000000000000000000e+00
2.294999999999999929e+00 0.000000000000000000e+00
2.305000000000000160e+00 0.000000000000000000e+00
2.314999999999999947e+00 0.000000000000000000e+00
2.325000000000000178e+00 0.000000000000000000e+00
2.334999999999999964e+00 0.000000000000000000e+00
2.344999999999999751e+00 0.000000000000000000e+00
2.354999999999999982e+00 0.000000000000000000e+00
2.365000000000000213e+00 0.000000000000000000e+00
2.375000000000000000e+00 0.000000000000000000e+00
2.384999999999999787e+00 0.000000000000000000e+00
2.395000000000000018e+00 0.000000000000000000e+00
2.405000000000000249e+00 0.000000000000000000e+00
2.415000000000000036e+00 0.000000000000000000e+00
2.424999999999999822e+00 0.000000000000000000e+00
2.435000000000000053e+00 0.000000000000000000e+00
2.445000000000000284e+00 0.000000000000000000e+00
2.455000000000000071e+00 0.000000000000000000e+00
2.464999999999999858e+00 0.000000000000000000e+00
2.475000000000000089e+00 0.000000000000000000e+00
2.485000000000000320e+00 0.000000000000000000e+00
2.495000000000000107e+00 0.000000000000000000e+00
2.504999999999999893e+00 0.000000000000000000e+00
2.515000000000000124e+00 0.000000000000000000e+00
2.525000000000000355e+00 0.000000000000000000e+00
2.535000000000000142e+00 0.000000000000000000e+00
2.544999999999999929e+00 0.000000000000000000e+00
2.555000000000000160e+00 0.000000000000000000e+00
2.564999999999999947e+00 0.000000000000000000e+00
2.575000000000000178e+00 0.000000000000000000e+00
2.584999999999999964e+00 0.000000000000000000e+00
